action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Object Transfer,1,,#C C places the T spanner on the bolt in the engine with his gloved right hand.,"The action involves placing an object (T spanner) onto another object (bolt), which is a logistics step.",r001,Mechanical Repair,Gold,,120.93497,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C places his gloved left hand on an iron in the motorcycle.,The action describes a static position with minimal movement.,r001,Mechanical Repair,Gold,,220.42425,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C loosens the motorcycle engine with a screw driver in both gloved hands.,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,238.33425,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C holds a rod in the motorcycle with his gloved left hand. #Unsure,"The action describes holding an object, which involves low body and hand motion.",r001,Mechanical Repair,Gold,,257.37615,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,Stationary,#C C holds the screw driver with both gloved hands.,Core task involving high hand activity.,r001,Mechanical Repair,Bad,,352.74694,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C holds the brake shoe from the motorcycle engine with both gloved hands.,"The action describes holding an object without movement, indicating low energy and a stationary position.",r001,Mechanical Repair,Gold,,365.3265,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C turns clockwise the nose plier in the handle bar clamp with both gloved hand.,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,419.41303,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C presses out a rod in the motorcycle engine with a nose plier in his gloved left hand.,Core manual task involving high hand activity with a tool.,r001,Mechanical Repair,Gold,,433.26575,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C hits a screwdriver in his gloved left hand into the motorcycle engine block with a hammer in his gloved right hand.,Core manual task with high hand activity and forceful motion.,r001,Mechanical Repair,Gold,,547.2389146666667,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C returns the screw driver to the rail with his gloved left hand.,Logistics step involving placing an object down.,r001,Mechanical Repair,Gold,,678.8818966666666,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C holds the nose plier with his gloved right hand.,"Low body/hand motion, holding position.",r001,Mechanical Repair,Gold,,813.7952166666666,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C raises his gloved right hand up. #Unsure,Raising a hand is a preparatory or idle action with low body and hand motion.,r001,Mechanical Repair,Gold,,814.9173666666667,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C picks tissue papers from the work bench with both gloved hands.,Logistics action involving picking up items from a surface.,r001,Mechanical Repair,Gold,,888.7591966666666,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops the glue on the table with his gloved right hand.,Refined via regex fallback,r001,Mechanical Repair,Gold,,933.2159066666668,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C places the lid on the spanner in his gloved left hand with his gloved right hand.,"The action involves placing one object onto another, which is a logistics step.",r001,Mechanical Repair,Gold,,945.0173166666666,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C picks the lid from the from the floor with his gloved right hand.,"Picking up an object from the floor, a logistics step.",r001,Mechanical Repair,,Skip,970.3133966666668,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C cleans the engine block with the tissue in his gloved right hand.,Core manual task involving cleaning with high hand activity.,r001,Mechanical Repair,Gold,,1046.2365366666668,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C holds the spanner in both gloved hands.,"Low body/hand motion, holding the tool.",r001,Mechanical Repair,Gold,,1097.2727733333334,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C holds the lid with both gloved hands,"Low body/hand motion, holding an object.",r001,Mechanical Repair,Gold,,1101.6612833333334,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C replaces the glue cover back on the glue with his gloved right hand.,Logistics step involving placing the glue cover back.,r001,Mechanical Repair,Gold,,1191.0957633333333,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C presses down the lamp hook with his gloved left hand.,"Core manual task, high hand activity.",r001,Mechanical Repair,Gold,,1214.5036833333334,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C transfers the hammer from his gloved right hand to his gloved left hand.,Logistics step involving the movement of an object between hands.,r001,Mechanical Repair,Gold,,1242.7429833333333,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops the lamp on the motorcycle with his gloved right hand.,"[CtxFixed] The action of dropping the lamp is a deliberate placement of the object onto the motorcycle, which fits the criteria for 'Object Transfer'.",r001,Mechanical Repair,Gold,,1248.5901833333332,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C adjusts the lamp on the motorcycle with both gloved hands.,Core manual task involving fine hand movements.,r001,Mechanical Repair,Gold,,1304.6977133333332,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops the punch in his gloved left hand on the work table.,"[CtxFixed] The action of dropping the punch onto the work table appears to be a deliberate placement rather than an error, as it follows a similar pattern to the previous action where the hammer was placed on the work table.",r001,Mechanical Repair,Gold,,1375.6307233333332,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C adjusts a tool on the work table with his gloved right hand.,Core manual task involving precise hand movements.,r001,Mechanical Repair,Gold,,1380.4458533333334,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C picks up tissue on the work table with his gloved right hand.,"The action involves picking up an object, which is a logistics step.",r001,Mechanical Repair,Gold,,1381.1547933333334,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops tissue on the work table with his gloved left hand.,"[CtxFixed] The action of dropping the tissue onto the work table is a deliberate placement, which fits the criteria for 'Object Transfer'.",r001,Mechanical Repair,Gold,,1382.5447433333334,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C transfer the tissue in his gloved right hand to his gloved left hand.,Movement of an object from one hand to another.,r001,Mechanical Repair,Gold,,1411.5122233333334,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C touches his face with his gloved left hand. #Unsure,"Low body/hand motion, likely indicating a pause or thought process.",r001,Mechanical Repair,Gold,,1414.037463333333,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C places his gloved left hand on a motorcycle in the workshop.,"Low body/hand motion, indicative of a preparatory or resting position.",r001,Mechanical Repair,Gold,,1422.5561833333334,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,Essential Operation,#C C rubs his gloved right hand on left arm,"Low body/hand motion, likely a preparatory or calming action.",r001,Mechanical Repair,Bad,,1474.6212733333332,3837916b-c0e8-4359-8a73-524d40660731
Locomotion,1,,#O A cat Y walks past C in the workshop.,Movement of another person or object (the cat) in the space.,r001,Mechanical Repair,Gold,,1545.1461533333334,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C adjust a sprocket with his gloved right hand.,Core manual task involving precise hand movements.,r001,Mechanical Repair,Gold,,1556.3349933333334,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C cleans the engine block with the tissue in his gloved left hand.,Core task involving manual cleaning activity.,r001,Mechanical Repair,Gold,,1626.5900379999998,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C pulls the foam with his gloved right hand.,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,1757.15642,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C holds the tissue in both gloved hands.,"Low body/hand motion, holding position.",r001,Mechanical Repair,Gold,,1790.03755,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C squeezes oil from the foam in to the bowl with b0th gloved hands.,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,1816.34142,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C disposes the foam into a dust bin with both gloved hands.,"Logistics step, moving an object from one location to another.",r001,Mechanical Repair,Gold,,1834.59053,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops the T spanner on the work bench with his gloved left hand.,"[CtxFixed] The action of dropping the T spanner onto the work bench is a deliberate placement, which fits the criteria for 'Object Transfer'.",r001,Mechanical Repair,Gold,,1851.14751,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C cleanses the scooter on the workshop lift table with the paper on the plier in his gloved right hand.,"Core manual task involving cleaning with a tool, high hand activity.",r001,Mechanical Repair,Gold,,1980.71603,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C places his gloved left hand on the scooter on the workshop lift table.,"The action involves placing a hand on an object, which indicates a pause or stabilization rather than movement.",r001,Mechanical Repair,Gold,,2002.40151,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C cleanses the scooter on the workshop lift table with the paper in his gloved right hand.,Cleaning is a core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,2094.40197,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops the nail on the ground with his gloved right hand.,"[CtxFixed] The action involves deliberately placing the nail on the ground, which fits the definition of 'Object Transfer' as a deliberate placement.",r001,Mechanical Repair,Gold,,2271.7753066666664,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops the bolt on the workshop lift table with his left hand.,"[CtxFixed] The action of dropping the bolt onto the workshop lift table indicates a deliberate placement of the object, which fits the criteria for 'Object Transfer'.",r001,Mechanical Repair,Gold,,2448.5623766666668,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C removes the bolt with his left hand.,"The action involves removing an object, which is a logistics step.",r001,Mechanical Repair,Gold,,2516.8229866666666,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops the bolt in his left hand on the workshop lift table.,"[CtxFixed] The action describes C deliberately placing the bolt on the workshop lift table, which fits the criteria for a deliberate placement.",r001,Mechanical Repair,Gold,,2524.0603266666667,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C picks the white handkerchief with his left hand.,"Logistics step, picking up an object.",r001,Mechanical Repair,Gold,,2551.6243366666667,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C picks the spanner on the workshop lift table with his right hand.,"The action involves picking up an object, which is a logistics step.",r001,Mechanical Repair,Gold,,2581.8862966666666,3837916b-c0e8-4359-8a73-524d40660731
Locomotion,1,,#C C moves towards a trolley in the workshop.,Movement through space towards an object.,r001,Mechanical Repair,Gold,,2701.908331333333,3837916b-c0e8-4359-8a73-524d40660731
Locomotion,1,,#C C moves towards the scooter on the workshop lift table with the news paper in both hands.,"Body moving through space, likely involves walking towards the scooter.",r001,Mechanical Repair,Gold,,2707.501591333333,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,,#C C touches the bolt in the scooter with his gloved left hand.,"Low body/hand motion, tactile inspection.",r001,Mechanical Repair,Gold,,2799.269153333333,3837916b-c0e8-4359-8a73-524d40660731
Stationary,1,Essential Operation,#C C shakes the lubricant with his gloved right hand.,"Shaking is a short burst action, but the overall description suggests a static position.",r001,Mechanical Repair,Bad,,2847.164043333333,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C drops the lubricant on the table with his gloved left hand.,"The action involves placing an object (lubricant) on a surface (table), which is a logistics step.",r001,Mechanical Repair,Gold,,2850.456283333333,3837916b-c0e8-4359-8a73-524d40660731
Object Transfer,1,,#C C passes the knife from his gloved left hand to his gloved right hand.,"Passing an object between hands, a logistics step.",r001,Mechanical Repair,Gold,,2888.7553233333333,3837916b-c0e8-4359-8a73-524d40660731
Essential Operation,1,,#C C loosens a bolt on the motorbike with the T bar in both gloved hands.,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,6.11315,391d3aba-45ea-4b6d-a8b1-044170686984
Object Transfer,1,Essential Operation,#C C shifts the box on the motorbike with his gloved left hand.,"The action involves moving an object (shifting the box), which is a logistics step.",r001,Mechanical Repair,Bad,,16.01093,391d3aba-45ea-4b6d-a8b1-044170686984
Object Transfer,1,,#C C picks a screw driver with his gloved left hand on the motorbike.,"The action involves picking up an object, which is a logistics step.",r001,Mechanical Repair,Gold,,23.00205,391d3aba-45ea-4b6d-a8b1-044170686984
Object Transfer,1,Essential Operation,#C C opens the motorbike battery box with his gloved left hand. #Unsure,Logistics step involving opening a box.,r001,Mechanical Repair,Bad,,27.00028,391d3aba-45ea-4b6d-a8b1-044170686984
Object Transfer,1,,#C C pulls the motorbike battery box with his gloved right hand. #Unsure,"The action involves moving an object (the battery box), which is a logistics step.",r001,Mechanical Repair,Gold,,47.13054,391d3aba-45ea-4b6d-a8b1-044170686984
Object Transfer,1,,#C C pulls out the motorbike battery box with his gloved right hand. #Unsure,"The action involves picking up and moving an object, which corresponds to logistics or setup steps.",r001,Mechanical Repair,Gold,,52.08835,391d3aba-45ea-4b6d-a8b1-044170686984
Locomotion,1,,#C C moves to the other side of the motorbike.,Movement through space to change position around the motorbike.,r001,Mechanical Repair,Gold,,62.24635,391d3aba-45ea-4b6d-a8b1-044170686984
Essential Operation,1,,#C C removes the bolt on the motorbike with his gloved left hand.,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,79.17969,391d3aba-45ea-4b6d-a8b1-044170686984
Stationary,1,,#C C sits on the stool beside the motorbike.,"Low body/hand motion, indicating a pause or idle state.",r001,Mechanical Repair,Gold,,130.47875,391d3aba-45ea-4b6d-a8b1-044170686984
Essential Operation,1,,#C C paints the rail,Core task involving high hand activity.,r001,Mechanical Repair,Gold,,63.84379,3a9de361-3047-4fec-a934-14310ef40233
Essential Operation,1,,#C C plays the cello,Core manual task involving high hand activity.,r001,Playing Instrument,Gold,,254.6378486,3b2ed5b4-9137-4d2c-bd31-8dd7167747b1
Object Transfer,1,,#C C removes the oven plate,Logistics step involving picking up and removing an object.,r001,Cooking,Gold,,23.0152786,3c0dffd0-e38e-4643-bc48-d513943dc20b
Object Transfer,1,,#C C picks up the measuring jug,Logistics step involving picking up an object.,r001,Cooking,Gold,,165.2501186,3c0dffd0-e38e-4643-bc48-d513943dc20b
Essential Operation,1,,#O person X stirs onions,Core task involving high hand activity.,r001,Cooking,Gold,,371.6014286458333,3c0dffd0-e38e-4643-bc48-d513943dc20b
Stationary,1,Essential Operation,#C C adjusts the heat on the oven,"Low body/hand motion, primarily hand movement with minimal acceleration.",r001,Cooking,Bad,,432.51155864583336,3c0dffd0-e38e-4643-bc48-d513943dc20b
Object Transfer,1,,#C C picks the container with #Unsure,Logistics step involving picking up an object.,r001,Cooking,Gold,,435.2777186458333,3c0dffd0-e38e-4643-bc48-d513943dc20b
Locomotion,1,,#C C moves around the pan,"Body movement through space, likely involves moving a pan which implies high body acceleration.",r001,Cooking,Gold,,525.6501286458333,3c0dffd0-e38e-4643-bc48-d513943dc20b
Object Transfer,1,,#C C picks the clothes from the bag,Logistics step involving picking up an object.,r001,Cleaning,Gold,,93.1576786,3c6ac251-4298-4421-be93-9262bcdbc320
Essential Operation,1,,#C C unfolds the sock,"Core manual task involving hands, likely with repetitive motion.",r001,Cleaning,Gold,,282.2170234828125,3c6ac251-4298-4421-be93-9262bcdbc320
Object Transfer,1,Essential Operation,#C C unfolds the sock,"Logistics step (unfolding), short burst of hand activity.",r001,Cleaning,Bad,,312.1894234828125,3c6ac251-4298-4421-be93-9262bcdbc320
Locomotion,1,Object Transfer,#C C moves the shopping bag,Body moving through space to move an object.,r001,Cleaning,Bad,,334.7399034828125,3c6ac251-4298-4421-be93-9262bcdbc320
Stationary,1,,#C C stares at the inside of the cabinet,"Low body/hand motion, indicating a static position.",r001,Playing Instrument,Gold,,49.5110196,414d6a22-44f1-438d-9561-4a111d94110b
Stationary,1,,#C C stares at the counter,"Low body/hand motion, indicating an idle or waiting state.",r001,Playing Instrument,Gold,,86.95248959999999,414d6a22-44f1-438d-9561-4a111d94110b
Stationary,1,,#C C stares at the air fryer,"Low body/hand motion, indicating an idle or observational state.",r001,Playing Instrument,Gold,,127.4143796,414d6a22-44f1-438d-9561-4a111d94110b
Locomotion,1,,#C C walks towards a man X,Body moving through space (walking).,r001,Playing Instrument,Gold,,187.0509796,414d6a22-44f1-438d-9561-4a111d94110b
Locomotion,1,,#C C walks towards the wall,Body moving through space (walking).,r001,Playing Instrument,Gold,,229.9774296,414d6a22-44f1-438d-9561-4a111d94110b
Locomotion,1,,#C C runs towards the kitchen,Body moving through space (run). High Body Accel.,r001,Playing Instrument,Gold,,326.9397309546634,414d6a22-44f1-438d-9561-4a111d94110b
Stationary,1,,#C C talks to a man Y,"Low body/hand motion, likely standing or sitting still while talking.",r001,Playing Instrument,Gold,,329.9812909546634,414d6a22-44f1-438d-9561-4a111d94110b
Object Transfer,1,Locomotion,#O a man Y bends towards the floor,"The action involves bending towards the floor, which likely involves picking up or putting down an object.",r001,Playing Instrument,Bad,,392.2899709546634,414d6a22-44f1-438d-9561-4a111d94110b
Locomotion,1,,#C C walks towards the entrance of the corridor.,Body moving through space (walking).,r001,Cleaning,Gold,,12.0049696,41d1921d-273e-4a88-b05c-042d6592a5f2
Search,1,Stationary,#C C adjusts the camera on his face with both hands. #unsure,"Head movement (adjusting camera), hands engaged in a specific task.",r001,Cleaning,Bad,,23.321409600000003,41d1921d-273e-4a88-b05c-042d6592a5f2
Essential Operation,1,,#C C washes plates at the washing basing. #unsure,Core task involving manual work with high hand activity.,r001,Cleaning,Gold,,132.52995959999998,41d1921d-273e-4a88-b05c-042d6592a5f2
Object Transfer,1,,#C C places the plate in a dish drainer.,"Logistics step, moving the plate to a specific location.",r001,Cleaning,Gold,,213.3863296,41d1921d-273e-4a88-b05c-042d6592a5f2
Stationary,1,,#C C touches a range hood in the kitchen. #unsure,"Low body/hand motion, likely inspection.",r001,Cleaning,Gold,,285.9557709546634,41d1921d-273e-4a88-b05c-042d6592a5f2
Locomotion,1,,#O person X subsides out of the tuk tuk,"The action describes a movement out of the vehicle, indicating a change in position.",r001,Mechanical Repair,Gold,,198.60635,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O person Y walks a round,"Movement through space, indicative of walking.",r001,Mechanical Repair,Gold,,277.47361,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O man B walks a round,Body moving through space (walking).,r001,Mechanical Repair,Gold,,307.30436,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#C C and person X walks a round,Body moving through space (walking).,r001,Mechanical Repair,Gold,,309.14128,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O person X and Y walks a round,"Movement through space, indicative of walking.",r001,Mechanical Repair,Gold,,699.81046,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,Object Transfer,#O person Y moves the golf stick,"Movement of an object through space, likely involves body motion.",r001,Mechanical Repair,Bad,,1127.9803033333333,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,Stationary,#O person Y moves the leg,"Body movement through space, likely involves high body acceleration.",r001,Mechanical Repair,Bad,,1210.9878833333332,449763d0-a924-40a4-8830-01e7028f9428
Stationary,1,,#C C points at man Z with a golf stick,"Low body/hand motion, pointing involves minimal movement.",r001,Mechanical Repair,Gold,,1257.4902933333333,449763d0-a924-40a4-8830-01e7028f9428
Stationary,1,,#O person Y holds the golf stick,Holding an object with minimal movement.,r001,Mechanical Repair,Gold,,1283.0796233333333,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,Object Transfer,#C C moves the golf stick,"Movement through space, likely involves walking or reaching.",r001,Mechanical Repair,Bad,,1307.5734733333334,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,Stationary,#O person X moves the leg,"Body movement, likely involves walking or moving a body part.",r001,Mechanical Repair,Bad,,1562.5420826666666,449763d0-a924-40a4-8830-01e7028f9428
Stationary,1,Essential Operation,#O person X plays the game,Playing a game typically involves minimal body movement and is a stationary activity.,r001,Mechanical Repair,Bad,,1578.6479026666666,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O person X swings the body,"Body movement through space, likely involves high body acceleration.",r001,Mechanical Repair,Gold,,1599.612032666667,449763d0-a924-40a4-8830-01e7028f9428
Search,1,,#C C looks a round the golf field,"Head movement (visual search), hands mostly still.",r001,Mechanical Repair,,Skip,1668.2494866666666,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,Object Transfer,#O person X positions the golf ball on the ground,"The action implies movement to position an object, indicating body movement through space.",r001,Mechanical Repair,Bad,,1772.5869866666667,449763d0-a924-40a4-8830-01e7028f9428
Search,1,,#C C looks a round the field,"Head movement (visual search), hands mostly still.",r001,Mechanical Repair,,Skip,1860.7112266666668,449763d0-a924-40a4-8830-01e7028f9428
Stationary,1,Essential Operation,#C C moves the golf stick on air,The action description 'moves the golf stick on air' suggests a stationary activity where the focus is on visual or auditory inspection rather than physical movement.,r001,Mechanical Repair,Bad,,1935.3453466666665,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,Object Transfer,#C C positions the golf ball on the ground,"This action implies C is moving the body to position the golf ball on the ground, which involves body movement through space.",r001,Mechanical Repair,Bad,,1949.5360066666667,449763d0-a924-40a4-8830-01e7028f9428
Stationary,1,,#C C holds the golf stick on hand,"Holding an object with hands, low body/hand motion.",r001,Mechanical Repair,Gold,,2038.220816666667,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O person X walks a round,Movement through space (walking).,r001,Mechanical Repair,Gold,,2041.6254566666669,449763d0-a924-40a4-8830-01e7028f9428
Object Transfer,1,,#C C picks a golf stick,Logistics step involving picking up an object.,r001,Mechanical Repair,Gold,,2047.5130666666664,449763d0-a924-40a4-8830-01e7028f9428
Object Transfer,1,,#O person X puts the golf ball on the ground,Logistics step of placing an object.,r001,Mechanical Repair,Gold,,2124.048626,449763d0-a924-40a4-8830-01e7028f9428
Object Transfer,1,,#O person X picks a golf ball on the ground,Logistics step involving picking up an object.,r001,Mechanical Repair,Gold,,2183.48856,449763d0-a924-40a4-8830-01e7028f9428
Stationary,1,,#C C stares a round the field,"Low body/hand motion, likely visual observation.",r001,Mechanical Repair,,Skip,2192.1471100000003,449763d0-a924-40a4-8830-01e7028f9428
Essential Operation,1,,#C C nips the golf ball with a golf stick on the ground,Core task involving a specific manual action with hands.,r001,Mechanical Repair,Gold,,2287.1502400000004,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,Object Transfer,#O person X moves the golf stick,Body moving through space to manipulate the golf stick.,r001,Mechanical Repair,Bad,,2489.1588100000004,449763d0-a924-40a4-8830-01e7028f9428
Object Transfer,1,,#C C picks the golf stick against a wooden stool,"The action involves picking up an object, which is a logistics step.",r001,Mechanical Repair,Gold,,2580.63081,449763d0-a924-40a4-8830-01e7028f9428
Object Transfer,1,,#C C puts the golf stick against a wooden stool,"Placing an object, logistics step.",r001,Mechanical Repair,Gold,,2599.6704200000004,449763d0-a924-40a4-8830-01e7028f9428
Stationary,1,,#C C stares a round the golf club compound,"Low body/hand motion, indicative of observation or thinking.",r001,Mechanical Repair,,Skip,3036.043693333333,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O man A walks a round,"Movement through space, high body acceleration.",r001,Mechanical Repair,Gold,,3085.0799733333333,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O person Z walks a round,"Body moving through space, indicative of walking.",r001,Mechanical Repair,Gold,,3235.4205933333333,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O person Z stands up from a chair,"Body movement through space, specifically standing up.",r001,Mechanical Repair,Gold,,3258.6780633333333,449763d0-a924-40a4-8830-01e7028f9428
Essential Operation,1,,#O man A operates on a transparent sign board machine,"Core manual task, likely involves precise hand movements.",r001,Mechanical Repair,Gold,,3307.805433333333,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#C C drives the tuktuk on the road,Body moving through space (driving).,r001,Mechanical Repair,Gold,,3759.0228226666654,449763d0-a924-40a4-8830-01e7028f9428
Stationary,1,,#C C looks a round on the road,"[CtxFixed] The action of looking around on the road indicates that the person is not in motion and is likely observing their surroundings, which fits the 'Stationary' category.",r001,Mechanical Repair,,Skip,3785.642212666666,449763d0-a924-40a4-8830-01e7028f9428
Locomotion,1,,#O Person A alights from the vehicle,"The action describes a person getting out of a vehicle, which involves movement through space.",r001,Mechanical Repair,Gold,,3921.071076666666,449763d0-a924-40a4-8830-01e7028f9428
Object Transfer,1,,#C C puts the #unsure on the roll up machine.,Logistics step involving placing an object.,r001,Mechanical Repair,Gold,,1029.0724233333333,46937f34-8c29-4daf-93ef-966b78e161cb
Object Transfer,1,,#O A man B picks the receipt.,"The action involves picking up an object, which is a logistics step.",r001,Mechanical Repair,Gold,,1097.6003466666666,46937f34-8c29-4daf-93ef-966b78e161cb
Stationary,1,Object Transfer,#C C moves the card.,"The action 'moves the card' is vague and could imply a minor adjustment or reading, which typically involves low body/hand motion.",r001,Mechanical Repair,Bad,,1122.9901366666666,46937f34-8c29-4daf-93ef-966b78e161cb
Search,1,,#C C inspects the paper,"Head movement (visual inspection), passive hands.",r001,Playing Instrument,Gold,,72.48103859999999,4b5de875-cc82-494e-b768-8ac0ae3bb279
Object Transfer,1,,#C C pulls pin from the bag,Logistics step involving picking up or removing an object.,r001,Playing Instrument,Gold,,192.4567886,4b5de875-cc82-494e-b768-8ac0ae3bb279
Stationary,1,,#C C looks at person X,"Low body/hand motion, likely involves visual observation.",r001,Playing Instrument,Gold,,321.8315586458333,4b5de875-cc82-494e-b768-8ac0ae3bb279
Stationary,1,,#C C holds a wrapper #unsure,The action of holding a wrapper is likely to involve minimal movement.,r001,Playing Instrument,Gold,,343.67130864583334,4b5de875-cc82-494e-b768-8ac0ae3bb279
Stationary,1,,#C C dialogues with lady X,"Low body/hand motion, likely involves speaking.",r001,Playing Instrument,Gold,,567.2714921677084,4b5de875-cc82-494e-b768-8ac0ae3bb279
Stationary,1,,#C C moves wrist watch,"Low body/hand motion, likely a minor adjustment or glance.",r001,Playing Instrument,Gold,,587.0507121677084,4b5de875-cc82-494e-b768-8ac0ae3bb279
Stationary,1,,#C C scrolls computer mouse,"Low body/hand motion, indicative of a stationary activity like using a computer mouse.",r001,Playing Instrument,Gold,,588.3699221677084,4b5de875-cc82-494e-b768-8ac0ae3bb279
Object Transfer,1,,#C C places earphones on table,Logistics step involving placing an object.,r001,Playing Instrument,Gold,,780.7465821677083,4b5de875-cc82-494e-b768-8ac0ae3bb279
Object Transfer,1,,#C C picks guitar,Logistics step of picking up the guitar.,r001,Playing Instrument,Gold,,901.824272788018,4b5de875-cc82-494e-b768-8ac0ae3bb279
Object Transfer,1,,#O lady X throws bag on table,Action involves placing an object (bag) on a surface (table).,r001,Playing Instrument,Gold,,967.242142788018,4b5de875-cc82-494e-b768-8ac0ae3bb279
Locomotion,1,Object Transfer,#O lady X moves stool,"Movement of the stool indicates a change in position, which is characteristic of locomotion.",r001,Playing Instrument,Bad,,974.0775627880182,4b5de875-cc82-494e-b768-8ac0ae3bb279
Search,1,,#C C inspects the tape,"Head movement (visual inspection), hands mostly still.",r001,Playing Instrument,Gold,,1191.1727962529949,4b5de875-cc82-494e-b768-8ac0ae3bb279
Search,1,,#C C looks around the apartment,"Head movement (visual search), hands mostly still.",r001,Playing Instrument,Gold,,1340.1138662529947,4b5de875-cc82-494e-b768-8ac0ae3bb279
Stationary,1,,#C C uses phone on the tripod stand,"The action involves using a stationary device, indicating low body and hand motion.",r001,Playing Instrument,Gold,,1416.0632360994457,4b5de875-cc82-494e-b768-8ac0ae3bb279
Object Transfer,1,Essential Operation,#O A woman X adjusts tripod stand,"Logistics/Setup step, involves picking up or putting down objects.",r001,Playing Instrument,Bad,,1483.8291860994457,4b5de875-cc82-494e-b768-8ac0ae3bb279
