action,annotation_id,annotator,batch,corrected_action,created_at,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,id,lead_time,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,status,timestamp_sec,updated_at,verdict,video_uid,watchlist_hit
Stationary,13440,6,6,Essential Operation,2026-03-03T21:04:19.665474Z,9,1859,,no,1,1.0,1,1149456,32.510000000000005,#c c puts on shoes,puts on shoes,Putting on shoes is typically a stationary activity with minimal body motion.,r002,Cleaning,Object Transfer,silver,1107.1338819333332,2026-03-03T21:56:44.527196Z,Bad,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13441,6,6,,2026-03-03T21:05:17.601713Z,5,5386,,no,0,0.0,0,1149457,2.423,#c c puts stool on the floor,puts stool on floor,Logistics step involving moving an object (stool).,r002,Cleaning,,silver,1161.252441933333,2026-03-03T21:05:17.601738Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13442,6,6,,2026-03-03T21:05:20.264982Z,5,5031,,no,0,0.0,0,1149458,1.733,#c c picks stool,picks stool,Logistics step involving picking up an object.,r002,Cleaning,,silver,1170.9757919333333,2026-03-03T21:05:20.265005Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13443,6,6,,2026-03-03T21:05:22.362190Z,8,2313,,no,0,0.0,0,1149459,1.265,#c c puts shoes on the floor,puts shoes on floor,Logistics action involving picking up and placing an object.,r002,Cleaning,,silver,1182.9167319333333,2026-03-03T21:05:22.362214Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13444,6,6,,2026-03-03T21:05:24.613789Z,4,7579,,no,0,0.0,0,1149460,1.173,#c c puts broom against the wall,puts broom against wall,"Logistics step, placing object (broom) in a specific location.",r002,Cleaning,,silver,1508.569801933333,2026-03-03T21:05:24.613812Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13409,6,6,,2026-03-03T21:02:30.058835Z,11,1287,,no,0,0.0,0,1149461,1.389,#c c takes dish,takes dish,Logistics/Setup step involving picking up or moving an object.,r002,Cleaning,,silver,1734.8302385999998,2026-03-03T21:02:30.058861Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13410,6,6,,2026-03-03T21:02:32.264457Z,7,2921,,no,0,0.0,0,1149462,1.499,#c c puts dish in the sink,puts dish in sink,"Logistics step, moving the dish to the sink.",r002,Cleaning,,silver,1735.9688285999998,2026-03-03T21:02:32.264473Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13411,6,6,,2026-03-03T21:02:35.401891Z,7,2948,,no,0,0.0,0,1149463,2.309,#c c puts meat in the dish,puts meat in dish,Logistics step involving picking up and placing an object.,r002,Cleaning,,silver,1742.0297686,2026-03-03T21:02:35.401906Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13412,6,6,,2026-03-03T21:02:37.461991Z,4,8279,,no,0,0.0,0,1149464,1.233,#c c takes spaghetti,takes spaghetti,"Logistics step, picking up or moving an object.",r002,Cleaning,,silver,1806.9113486,2026-03-03T21:02:37.462020Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13413,6,6,,2026-03-03T21:02:39.808595Z,13,902,,no,0,0.0,0,1149465,1.538,#c c takes faucet,takes faucet,"Logistics/Setup step, picking up or manipulating an object.",r002,Cleaning,,silver,1939.4803586,2026-03-03T21:02:39.808634Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13414,6,6,,2026-03-03T21:02:41.727212Z,8,2106,,no,0,0.0,0,1149466,1.044,#c c hangs faucet,hangs faucet,Logistics step involving picking up and placing an object.,r002,Cleaning,,silver,1960.8201886,2026-03-03T21:02:41.727243Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13415,6,6,,2026-03-03T21:02:43.867127Z,12,1034,,no,0,0.0,0,1149467,1.247,#c c puts mop against the wall,puts mop against wall,Logistics step involving placing an object (mop).,r002,Cleaning,,silver,1965.7501686,2026-03-03T21:02:43.867150Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13416,6,6,,2026-03-03T21:02:45.847038Z,5,5653,,no,0,0.0,0,1149468,1.194,#c c takes shoe,takes shoe,Logistics/Setup step involving picking up an object.,r002,Cleaning,,silver,1967.2080786,2026-03-03T21:02:45.847061Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13417,6,6,,2026-03-03T21:02:47.607599Z,10,1479,,no,0,0.0,0,1149469,1.095,#c c puts brush in the sink,puts brush in sink,Logistics of placing an object (brush) in a location (sink).,r002,Cleaning,,silver,1969.6506686,2026-03-03T21:02:47.607626Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Stationary,13418,6,6,Object Transfer,2026-03-03T21:02:51.991875Z,6,4065,,no,0,0.0,0,1149470,3.547,#c c turns shoe,turns shoe,Turning an object typically involves minimal movement and can be considered a stationary action.,r002,Cleaning,,silver,1975.5992986,2026-03-03T21:02:51.991900Z,Bad,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13419,6,6,,2026-03-03T21:02:54.913448Z,4,7744,,no,0,0.0,0,1149471,2.081,#c c puts on shoe,puts on shoe,"Logistics step, putting on a shoe involves picking up and placing an object.",r002,Cleaning,,silver,1991.2912986,2026-03-03T21:02:54.913475Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Stationary,13420,6,6,Object Transfer,2026-03-03T21:03:01.455923Z,4,6648,,no,0,0.0,0,1149472,5.556,#c c hangs faucet,hangs faucet,The action of hanging a faucet is a setup step that likely involves minimal movement once the faucet is in place.,r002,Cleaning,,silver,2400.2093076213305,2026-03-03T21:03:01.455937Z,Bad,3410d16d-3450-440c-bd3c-e8140e1facce,no
Object Transfer,13421,6,6,,2026-03-03T21:03:03.940655Z,9,1853,,no,0,0.0,0,1149473,1.519,#c c puts #unsure in the bucket,puts in bucket,Logistics step involving picking up and placing an object.,r002,Cleaning,,silver,2887.531850954664,2026-03-03T21:03:03.940698Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Essential Operation,13422,6,6,,2026-03-03T21:03:05.789220Z,4,8320,,no,0,0.0,0,1149474,1.141,#c c ties paper,ties paper,"Core task involving hands, likely with repetitive motions.",r002,Cleaning,,silver,3039.839450954664,2026-03-03T21:03:05.789253Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Locomotion,13423,6,6,Object Transfer,2026-03-03T21:03:13.372381Z,5,5690,,no,0,0.0,0,1149475,5.999,#c c turns mop,turns mop,Turning motion involves body movement through space.,r002,Cleaning,,silver,3059.9855609546635,2026-03-03T21:03:13.372397Z,Bad,3410d16d-3450-440c-bd3c-e8140e1facce,no
Essential Operation,13424,6,6,,2026-03-03T21:03:16.114923Z,3,9792,,no,0,0.0,0,1149476,3.659,#c c dips mop in and out,dips mop in and out,Core cleaning task involving repetitive hand movement.,r002,Cleaning,Object Transfer,silver,3268.896364287997,2026-03-03T21:03:18.969239Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Essential Operation,13425,6,6,,2026-03-03T21:03:21.053547Z,4,8000,,no,0,0.0,0,1149477,1.383,#c c rinses soap dish,rinses soap dish,Core manual task involving hand activity.,r002,Cleaning,,silver,3364.772004287997,2026-03-03T21:03:21.053563Z,Gold,3410d16d-3450-440c-bd3c-e8140e1facce,no
Locomotion,13426,6,6,,2026-03-03T21:03:23.680473Z,5,5680,,no,0,0.0,0,1149478,1.554,#C C treks a round the ridged gourd plant garden,treks round ridged gourd plant garden,"Movement through space, likely involves walking around the garden.",r002,Gardening,,silver,167.9789696,2026-03-03T21:03:23.680498Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Object Transfer,13427,6,6,,2026-03-03T21:03:35.749613Z,4,6635,,no,0,0.0,0,1149479,3.223,#C C grabs a melon plant leaves,grabs melon plant leaves,"The action involves picking up or handling an object, which is a logistics step.",r002,Gardening,,silver,448.4308209546634,2026-03-03T21:03:35.749638Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Stationary,13445,6,6,,2026-03-03T21:05:26.779931Z,4,8140,,no,0,0.0,0,1149480,1.313,#C C squats on the ground,squats on ground,Body is in a stable position with minimal movement.,r002,Gardening,,silver,483.9145609546634,2026-03-03T21:05:26.779978Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Object Transfer,13446,6,6,,2026-03-03T21:05:28.628906Z,3,11462,,no,0,0.0,0,1149481,1.106,#C C picks a transparency polythene bag from the ground,picks transparency polythene bag from ground,Logistics step involving picking up an object.,r002,Gardening,,silver,773.5381842879967,2026-03-03T21:05:28.628930Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Search,13447,6,6,,2026-03-03T21:05:31.526457Z,4,8172,,no,0,0.0,0,1149482,2.13,#C C stares a round on a water melon garden,stares round on water melon garden,"Visual search or monitoring (staring around the garden), low hand activity.",r002,Gardening,,silver,836.3834142879967,2026-03-03T21:05:31.526472Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Object Transfer,13448,6,6,,2026-03-03T21:05:34.209508Z,3,10254,,no,0,0.0,0,1149483,4.32,#C C grabs the water melon plant leaves,grabs water melon plant leaves,"The action involves picking up or grabbing an object, which falls under logistics or setup steps.",r002,Gardening,,silver,859.0929242879968,2026-03-03T21:05:37.274934Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Search,13449,6,6,,2026-03-03T21:05:40.247319Z,4,6768,,no,0,0.0,0,1149484,1.327,#C C looks a round on a water melon garden,looks round on water melon garden,"Head movement (visual search), hands mostly still.",r002,Gardening,,silver,865.6503942879967,2026-03-03T21:05:40.247344Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Locomotion,13450,6,6,,2026-03-03T21:05:42.377763Z,4,6689,,no,0,0.0,0,1149485,1.174,#c c jump the plant,jump plant,Body movement through space (jumping).,r002,Gardening,,silver,1121.95488762133,2026-03-03T21:05:42.377787Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Essential Operation,13451,6,6,,2026-03-03T21:05:44.812877Z,5,5220,,no,0,0.0,0,1149486,1.598,#c c prune the plant branch with a scissor,prune plant branch with scissor,Core manual task involving high hand activity.,r002,Gardening,,silver,1494.97253762133,2026-03-03T21:05:44.812902Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Essential Operation,13452,6,6,,2026-03-03T21:05:48.609307Z,3,11883,,no,0,0.0,0,1149487,2.999,#c c pour water to the plant,pour water to plant,Core task involving high hand activity.,r002,Gardening,,silver,2093.390450954664,2026-03-03T21:05:48.609331Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Object Transfer,13453,6,6,,2026-03-03T21:05:50.917372Z,4,8030,,no,0,0.0,0,1149488,1.456,#c c scoop the liquid fertilizer with the pan,scoop liquid fertilizer with pan,"Logistics action of scooping liquid fertilizer with a pan, involves picking up and transferring an object.",r002,Gardening,,silver,2176.916714287997,2026-03-03T21:05:50.917399Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Object Transfer,13454,6,6,,2026-03-03T21:05:53.222318Z,5,5479,,no,0,0.0,0,1149489,1.347,#c c scoop the fertilizer with the pan,scoop fertilizer with pan,Logistics step involving picking up and moving an object.,r002,Gardening,,silver,2277.256684287997,2026-03-03T21:05:53.222332Z,Gold,343ff902-f0c0-4931-bca6-872ff9066fec,no
Stationary,13455,6,6,,2026-03-03T21:05:55.364719Z,4,6224,historical_bad,yes,2,1.0,2,1149490,1.332,#C C turns to the left,turns to left,Turning indicates a small movement but does not involve significant locomotion or active task engagement.,r002,Cleaning,,silver,438.14651526666665,2026-03-03T21:05:55.364743Z,Gold,3625b3d9-e323-4c05-a27a-aba79f01a5bd,no
Stationary,13456,6,6,,2026-03-03T21:05:57.229464Z,15,661,,no,0,0.0,0,1149491,1.15,#C C raises her hand,raises her hand,"Low body/hand motion, raising hand is a minor movement.",r002,Cleaning,,silver,611.0108719333334,2026-03-03T21:05:57.229487Z,Gold,3625b3d9-e323-4c05-a27a-aba79f01a5bd,no
Essential Operation,13457,6,6,,2026-03-03T21:05:59.265774Z,5,4535,,no,0,0.0,0,1149492,1.294,#C C drills the wall with the hand drill.,drills wall with hand drill,Core manual task involving high hand activity.,r002,Carpentry,,silver,19.665029600000004,2026-03-03T21:05:59.265800Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Object Transfer,13458,6,6,,2026-03-03T21:06:01.882529Z,4,7294,,no,0,0.0,0,1149493,1.865,#C C picks up a yellow socket back box from the floor.,picks up yellow socket back box from floor,Logistics step involving picking up an object.,r002,Carpentry,,silver,108.6870696,2026-03-03T21:06:01.882552Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Essential Operation,13459,6,6,,2026-03-03T21:06:04.609957Z,3,10103,,no,0,0.0,0,1149494,1.829,#C C dusts the drilled wall with his right hand.,dusts drilled wall with his right hand,Core task involving manual activity with the hand.,r002,Carpentry,,silver,110.1400496,2026-03-03T21:06:04.609979Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Object Transfer,13460,6,6,,2026-03-03T21:06:07.777767Z,3,11838,,no,0,0.0,0,1149495,2.464,#C C places the yellow socket back box in the drilled part of the wall with his two hands.,places yellow socket back box in drilled part of wall with his two hands,Logistics step involving placing an object.,r002,Carpentry,,silver,118.5371396,2026-03-03T21:06:07.777782Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Object Transfer,13461,6,6,,2026-03-03T21:06:12.281765Z,7,2635,,no,0,0.0,0,1149496,1.807,#C C drops the hand drill on the floor.,drops hand drill on floor,Refined via regex fallback,r002,Carpentry,,silver,201.8556796,2026-03-03T21:06:12.281789Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Search,13462,6,6,,2026-03-03T21:06:14.828221Z,8,2156,,no,1,1.0,1,1149497,5.855,#C C measures the wall with the measuring tape.,measures wall with measuring tape,"Visual search or monitoring, likely involves head movement to read the measurements.",r002,Carpentry,Essential Operation,silver,222.9555496,2026-03-03T21:06:19.320939Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Object Transfer,13463,6,6,,2026-03-03T21:06:22.208165Z,4,7971,,no,0,0.0,0,1149498,2.127,#C C removes the yellow socket back box from the drilled part of the wall.,removes yellow socket back box from drilled part of wall,"The action involves removing an object from a specific location, which is a logistics step.",r002,Carpentry,,silver,233.3798096,2026-03-03T21:06:22.208180Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Object Transfer,13464,6,6,,2026-03-03T21:06:28.421097Z,3,9570,,no,0,0.0,0,1149499,5.315,#C C carries the hand drill from the floor.,carries hand drill from floor,Logistics step involving picking up and moving an object.,r002,Carpentry,Object Transfer,silver,249.7909596,2026-03-03T21:06:28.421110Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Essential Operation,13465,6,6,,2026-03-03T21:06:30.800580Z,3,10102,,no,0,0.0,0,1149500,1.447,#C C dusts the drilled part of the wall with his right hand.,dusts drilled part of wall with his right hand,Core task involving high hand activity.,r002,Carpentry,,silver,315.3007609546634,2026-03-03T21:06:30.800614Z,Gold,363b5839-a7c3-4c2e-b966-9530e38045a1,no
Essential Operation,13466,6,6,,2026-03-03T21:06:32.606667Z,4,8104,,no,0,0.0,0,1149501,1.08,#C C smoothens the pillar with the sandpaper on her both hands.,smoothens pillar with sandpaper on her both hands,Core task involving high hand activity.,r002,Mechanical Repair,,silver,55.163039600000005,2026-03-03T21:06:32.606683Z,Gold,385e21d8-e96f-4824-8a1c-44f97d6cc139,no
Search,13467,6,6,,2026-03-03T21:06:35.335669Z,4,6581,,no,0,0.0,0,1149502,1.939,#C C feels the pillar with her left hand.,feels pillar with her left hand,"The action involves a tactile search with the hand, indicating a focus on sensory input rather than performing a core task or moving the body through space.",r002,Mechanical Repair,,silver,222.2984996,2026-03-03T21:06:35.335690Z,Gold,385e21d8-e96f-4824-8a1c-44f97d6cc139,no
Object Transfer,13468,6,6,,2026-03-03T21:06:39.841329Z,3,11370,,no,0,0.0,0,1149503,1.647,#C C picks a scissors on the table with her right hand.,picks scissors on table with her right hand,Logistics step involving picking up an object.,r002,Mechanical Repair,,silver,450.4119709546634,2026-03-03T21:06:39.841345Z,Gold,385e21d8-e96f-4824-8a1c-44f97d6cc139,no
Object Transfer,13469,6,6,,2026-03-03T21:06:42.925173Z,3,10029,,no,0,0.0,0,1149504,1.403,#C C drops the scissors on the table with her right hand.,drops scissors on table with her right hand,Refined via regex fallback,r002,Mechanical Repair,,silver,451.1469709546634,2026-03-03T21:06:42.925189Z,Gold,385e21d8-e96f-4824-8a1c-44f97d6cc139,no
Essential Operation,13470,6,6,,2026-03-03T21:06:46.042146Z,5,5542,,no,0,0.0,0,1149505,1.696,#C C smoothens the wooden pole with sandpaper in his right hand,smoothens wooden pole with sandpaper in his right hand,Core manual task involving high hand activity.,r002,Mechanical Repair,,silver,621.3672976213301,2026-03-03T21:06:46.042160Z,Gold,385e21d8-e96f-4824-8a1c-44f97d6cc139,no
Essential Operation,13500,6,6,,2026-03-03T21:08:25.172813Z,3,9499,,no,0,0.0,0,1149506,1.998,#C C attaches the metal to the sandpaper with a piece of sellotape,attaches metal to sandpaper with piece of sellotape,Core manual task involving hand activity.,r002,Mechanical Repair,,silver,752.41372762133,2026-03-03T21:08:25.172845Z,Gold,385e21d8-e96f-4824-8a1c-44f97d6cc139,no
Essential Operation,13501,6,6,,2026-03-03T21:08:27.349416Z,5,5183,,no,0,0.0,0,1149507,1.381,#C C plays a double bass,plays double bass,Core task involving high hand activity and coordination.,r002,Playing Instrument,,silver,301.1091134158693,2026-03-03T21:08:27.349431Z,Gold,3b2ed5b4-9137-4d2c-bd31-8dd7167747b1,no
Object Transfer,13502,6,6,,2026-03-03T21:08:31.512886Z,9,1614,watchlist_verb,yes,0,0.0,0,1149508,2.609,#C C opens a carboard,opens carboard,Logistics step involving opening an object.,r002,Cooking,,silver,3.928275266666667,2026-03-03T21:08:31.512910Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,yes
Object Transfer,13503,6,6,,2026-03-03T21:08:32.779140Z,3,8690,watchlist_verb,yes,0,0.0,0,1149509,0.642,#C C closes carboard,closes carboard,"Logistics/Setup step, closing an object.",r002,Cooking,,silver,7.083975266666667,2026-03-03T21:08:32.779195Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,yes
Object Transfer,13504,6,6,,2026-03-03T21:08:34.469652Z,6,3820,,no,0,0.0,0,1149510,0.549,#C C puts cooking pot on the gas,puts cooking pot on gas,Logistics step of placing an object (pot) on a surface (gas stove).,r002,Cooking,,silver,44.88357526666667,2026-03-03T21:08:34.469675Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Essential Operation,13505,6,6,,2026-03-03T21:08:35.744775Z,5,5196,,no,0,0.0,0,1149511,0.601,#C C pours #unsure in the cooking pot,pours in cooking pot,Core task involving manual operation with hands.,r002,Cooking,,silver,49.43216526666667,2026-03-03T21:08:35.744802Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13506,6,6,,2026-03-03T21:08:36.941966Z,12,1042,,no,0,0.0,0,1149512,0.615,#C C puts spoon in a plate,puts spoon in plate,Logistics action involving placing an object.,r002,Cooking,,silver,108.44987526666668,2026-03-03T21:08:36.941983Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13507,6,6,,2026-03-03T21:08:40.145647Z,8,2205,,no,0,0.0,0,1149513,2.503,#C C picks #unsure in a fridge,picks in fridge,Logistics step involving picking up an item.,r002,Cooking,,silver,190.19040526666663,2026-03-03T21:08:40.145678Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13508,6,6,,2026-03-03T21:08:41.720835Z,19,402,,no,0,0.0,0,1149514,0.737,#C C picks a packet of #unsure,picks packet of,Logistics action of picking up an object.,r002,Cooking,,silver,207.77990526666667,2026-03-03T21:08:41.720850Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Essential Operation,13509,6,6,,2026-03-03T21:08:45.968724Z,7,3103,,no,0,0.0,0,1149515,1.414,#C C washes the onion,washes onion,Core task involving manual activity with the hands.,r002,Cooking,,silver,308.9837252666667,2026-03-03T21:08:45.968749Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13510,6,6,,2026-03-03T21:08:47.333494Z,7,3063,,no,0,0.0,0,1149516,0.658,#C C takes the pot,takes pot,Logistics/Setup step involving picking up the pot.,r002,Cooking,,silver,513.6285052666667,2026-03-03T21:08:47.333519Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13511,6,6,,2026-03-03T21:08:48.607143Z,20,349,watchlist_verb,yes,0,0.0,0,1149517,0.612,#C C opens the polythene,opens polythene,Logistics step involving opening an object.,r002,Cooking,,silver,578.8743219333334,2026-03-03T21:08:48.607175Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,yes
Stationary,13512,6,6,Essential Operation,2026-03-03T21:08:52.985235Z,6,4038,,no,0,0.0,0,1149518,3.671,#C C taste the food,taste food,"Low body/hand motion, tasting involves minimal movement.",r002,Cooking,,silver,624.0153919333334,2026-03-03T21:08:52.985258Z,Bad,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Essential Operation,13513,6,6,,2026-03-03T21:08:54.991026Z,8,2306,,no,0,0.0,0,1149519,0.906,#C C puts the pieces together,puts pieces together,"Core task involving manual assembly or construction, high hand activity.",r002,Cooking,,silver,674.9609419333334,2026-03-03T21:08:54.991049Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13514,6,6,,2026-03-03T21:08:57.264030Z,5,4981,,no,0,0.0,0,1149520,0.75,#C C picks one piece of the green bell pepper,picks one piece of green bell pepper,"Logistics step, picking up an object.",r002,Cooking,,silver,701.8255319333334,2026-03-03T21:08:57.264054Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Essential Operation,13515,6,6,,2026-03-03T21:08:58.530232Z,4,8100,,no,0,0.0,0,1149521,0.59,#C C slices the piece with the a knife,slices piece with knife,Core manual task involving high hand activity.,r002,Cooking,,silver,723.3324919333335,2026-03-03T21:08:58.530246Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Stationary,13516,6,6,Object Transfer,2026-03-03T21:09:00.178359Z,5,5694,,no,1,1.0,1,1149522,11.713,#C C turns on the gas cooker,turns on gas cooker,"Low body/hand motion, primarily an action involving a switch or button press.",r002,Cooking,Essential Operation,silver,869.6841719333335,2026-03-03T21:56:57.281355Z,Bad,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13517,6,6,,2026-03-03T21:09:10.723103Z,3,9221,watchlist_verb,yes,0,0.0,0,1149523,4.026,#C C opens the cooking oil lid,opens cooking oil lid,Logistics step involving opening a lid.,r002,Cooking,,silver,872.7941519333334,2026-03-03T21:09:10.723127Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,yes
Object Transfer,13518,6,6,,2026-03-03T21:09:11.775614Z,14,746,,no,0,0.0,0,1149524,0.555,#C C puts down the plate,puts down plate,Logistics/Setup step.,r002,Cooking,,silver,920.7187019333334,2026-03-03T21:09:11.775628Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13471,6,6,,2026-03-03T21:06:48.775148Z,8,2222,,no,0,0.0,0,1149525,1.437,#C C picks a spoon from the plate,picks spoon from plate,Logistics/Setup step involving picking up an object.,r002,Cooking,,silver,1133.7940286,2026-03-03T21:06:48.775209Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Stationary,13472,6,6,,2026-03-03T21:06:50.882087Z,7,2546,watchlist_verb,yes,0,0.0,0,1149526,1.214,#C C touches the cooker button,touches cooker button,"Low body/hand motion, likely involves minimal physical activity.",r002,Cooking,,silver,1147.3573186,2026-03-03T21:06:50.882111Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,yes
Object Transfer,13473,6,6,,2026-03-03T21:06:53.202798Z,6,3853,,no,0,0.0,0,1149527,1.363,#C C puts the meat in the cooking pot,puts meat in cooking pot,Logistics step involving picking up and placing the object.,r002,Cooking,,silver,1154.9343286,2026-03-03T21:06:53.202814Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13474,6,6,,2026-03-03T21:06:55.688785Z,6,3601,,no,0,0.0,0,1149528,1.562,#C C picks the bottle of #unsure from the counter,picks bottle of from counter,"Logistics step, picking up an object.",r002,Cooking,,silver,1184.8246186,2026-03-03T21:06:55.688801Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Essential Operation,13475,6,6,,2026-03-03T21:07:09.444216Z,5,5751,,no,0,0.0,0,1149529,1.955,#C C washes the coriander,washes coriander,Core task involving manual activity with hands.,r002,Cooking,,silver,1374.6551586,2026-03-03T21:07:09.444246Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13476,6,6,,2026-03-03T21:07:13.038994Z,26,240,,no,0,0.0,0,1149530,1.538,#C C picks up the plate,picks up plate,Logistics step involving picking up an object.,r002,Cooking,,silver,1386.5259586,2026-03-03T21:07:13.039011Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Essential Operation,13477,6,6,,2026-03-03T21:07:15.347645Z,4,6373,,no,0,0.0,0,1149531,1.424,#C C cuts the coriander,cuts coriander,"Core task, high hand activity.",r002,Cooking,,silver,1454.5549686,2026-03-03T21:07:15.347665Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Essential Operation,13478,6,6,,2026-03-03T21:07:17.668226Z,5,5413,,no,0,0.0,0,1149532,1.528,#CC regulates the gas cooker,regulates gas cooker,"Core task involving manual adjustment, high hand activity.",r002,Cooking,,silver,1523.2426486,2026-03-03T21:07:17.668251Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Essential Operation,13479,6,6,,2026-03-03T21:07:24.983278Z,5,4674,,no,0,0.0,0,1149533,6.368,#C C hits the spoon on the cooking pot,hits spoon on cooking pot,Core task involving high hand activity.,r002,Cooking,Object Transfer,silver,1529.2256286,2026-03-03T21:07:24.983302Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13480,6,6,,2026-03-03T21:07:27.276623Z,4,6536,,no,0,0.0,0,1149534,1.423,#C C drops the spoon in the plate,drops spoon in plate,Refined via regex fallback,r002,Cooking,,silver,1534.0147086,2026-03-03T21:07:27.276649Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13481,6,6,,2026-03-03T21:07:29.534056Z,4,7747,,no,0,0.0,0,1149535,1.365,#C C puts the onions in the cooking pot,puts onions in cooking pot,Logistics step of placing the onions into the pot.,r002,Cooking,,silver,1617.8346485999998,2026-03-03T21:07:29.534080Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
Object Transfer,13482,6,6,,2026-03-03T21:07:32.540801Z,3,10250,,no,0,0.0,0,1149536,2.29,#C C grabs olives,grabs olives,Logistics step involving picking up an object.,r002,Cooking,,silver,1635.7586485999998,2026-03-03T21:07:32.540817Z,Gold,3d7ba3f7-f393-41ec-88a2-c33b82ec8c47,no
