action,batch,narration_text,reasoning,round,scenario,status,timestamp_sec,video_uid
Object Transfer,2,#C C presses the other end of the paper tape on the table over the ruler,"The action involves placing or securing an object, which is a logistics step.",r001,Carpentry,Gold,388.7840109546634,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C drop the ruler on the table with his right hand,Refined via regex fallback,r001,Carpentry,Gold,398.5111109546634,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C drops the paper tape on the table with his right hand,Refined via regex fallback,r001,Carpentry,Gold,402.2810609546634,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C marks the paper tape with the pen,Core task involving fine hand movements.,r001,Carpentry,Gold,433.69152095466336,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C places the ruler on the table with his hands,Logistics step involving placing an object.,r001,Carpentry,Gold,462.2336609546634,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C places the plastic box on the outstretched paper tape on the table #unsure,"Logistics step, placing an object on a surface.",r001,Carpentry,Gold,477.14897095466335,db171065-a8a9-49f7-bc56-66879d228b30
Search,2,#C C searches through the tool box with his left hand,"Exploratory hand movement through the toolbox, indicative of searching.",r001,Carpentry,Gold,515.5801609546634,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C picks another plastic box with his left hand #unsure,Logistics step involving picking up an object.,r001,Carpentry,Gold,611.41833762133,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C twists the torque adjustment collar on the cordless driver with his left hand,Core manual task involving high hand activity.,r001,Carpentry,Gold,646.5731676213301,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C puts the second half of the plastic box on the shelf with his right hand #unsure,"The action involves placing an object, which is a logistics step.",r001,Carpentry,Gold,663.00748762133,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C passes the plastic box in his left hand to his right hand,Movement of an object from one hand to another.,r001,Carpentry,Gold,664.46114762133,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C picks a bolt from the table with his left hand,Logistics step of picking up an object.,r001,Carpentry,Gold,710.90032762133,db171065-a8a9-49f7-bc56-66879d228b30
Stationary,2,#C holds the cordless driver with his left hand,The action describes a holding position with minimal movement.,r001,Carpentry,Gold,824.6347276213301,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C drops the drill bit in his left hand on the table,Refined via regex fallback,r001,Carpentry,Gold,836.5636376213301,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C drills through the plastic box with the cordless driver,Core manual task involving high hand activity.,r001,Carpentry,Gold,864.7696676213301,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C removes the drill bit from the cordless driver with his left hand,"Logistics step, transferring the drill bit from the tool.",r001,Carpentry,Gold,947.79357762133,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C drills through another plastic box with the cordless driver,Core task involving high hand activity and focused action.,r001,Carpentry,Gold,962.44891762133,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C squeezes the paper tape with his hands,Core manual task involving high hand activity.,r001,Carpentry,Gold,977.15609762133,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C places the plastic box on the table #unsure,Logistics step involving placing an object.,r001,Carpentry,Gold,1007.44878762133,db171065-a8a9-49f7-bc56-66879d228b30
Locomotion,2,#C C walks towards the bin with the plastic box in his hand #unsure,"Body moving through space (walking), with an object in hand.",r001,Carpentry,Gold,1031.3023676213302,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C moves a part of the plastic box with his left hand,Moving an object from one place to another.,r001,Carpentry,Gold,1078.4122722879963,db171065-a8a9-49f7-bc56-66879d228b30
Locomotion,2,#C C walks back to the table.,"Body moving through space, indicative of walking.",r001,Carpentry,Gold,1106.2928242879966,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C places the socket back box on the table.,Logistics step of placing an object on a surface.,r001,Carpentry,Gold,1152.6782042879966,db171065-a8a9-49f7-bc56-66879d228b30
Stationary,2,#C C holds the socket back box.,"The action implies holding an object in place, indicating low body/hand motion.",r001,Carpentry,Gold,1169.0912942879966,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C touches another socket back box screwed to the table.,"[CtxFixed] The action of touching another socket back box screwed to the table suggests that C is engaging in a task-related activity, possibly to check or manipulate the socket. This aligns with the category of Essential Operation.",r001,Carpentry,Gold,1177.3769642879963,db171065-a8a9-49f7-bc56-66879d228b30
Stationary,2,#C C bends.,Bending is a preparatory action that does not involve significant motion or activity.,r001,Carpentry,Gold,1184.7010042879965,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C tapes the wires with the black tape.,Core manual task involving hand activity.,r001,Carpentry,Gold,1228.9752342879965,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C drops the black tape on the table.,Refined via regex fallback,r001,Carpentry,Gold,1235.5158642879967,db171065-a8a9-49f7-bc56-66879d228b30
Stationary,2,#C C adjusts the wires on the table.,The action implies a fine adjustment which likely involves minimal movement.,r001,Carpentry,Gold,1287.3353342879966,db171065-a8a9-49f7-bc56-66879d228b30
Stationary,2,#C C adjusts the drill bit in the case.,The action involves fine adjustments and is likely to be done with minimal body movement.,r001,Carpentry,Gold,1318.0047542879963,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C drops the clip on the table.,Refined via regex fallback,r001,Carpentry,Gold,1332.1864942879963,db171065-a8a9-49f7-bc56-66879d228b30
Locomotion,2,#C C steps back to the table.,Movement through space to reposition oneself.,r001,Carpentry,Gold,1358.629434287997,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C brings out screwdriver from pocket. #unsure,"The action involves taking the screwdriver out of the pocket, which is a logistics step.",r001,Carpentry,Gold,1452.6534542879967,db171065-a8a9-49f7-bc56-66879d228b30
Stationary,2,#C C touches the wire from the socket.,"The action of touching the wire is likely a brief, stationary interaction.",r001,Carpentry,Gold,1459.5959942879967,db171065-a8a9-49f7-bc56-66879d228b30
Stationary,2,#C C holds component of the socket. #unsure,"Low body/hand motion, holding an object without movement.",r001,Carpentry,Gold,1480.0900942879966,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C drops the component of the socket. #unsure,"[CtxFixed] The action of dropping the component of the socket is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'.",r001,Carpentry,Gold,1515.1987342879966,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C loosens a screw on the socket with the screwdriver.,Core manual task involving high hand activity.,r001,Carpentry,Gold,1519.8038542879967,db171065-a8a9-49f7-bc56-66879d228b30
Stationary,2,#C C adjusts the wires of the socket.,Adjusting wires typically involves fine manipulation and may not involve significant body movement.,r001,Carpentry,Gold,1525.2238842879965,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C loosens a screw on the socket with the screwdriver again.,Core manual task involving high hand activity.,r001,Carpentry,Gold,1534.3300742879965,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C puts wire in a socket.,Core task involving manual operation with hands.,r001,Carpentry,Gold,1619.9689709546633,db171065-a8a9-49f7-bc56-66879d228b30
Essential Operation,2,#C C inserts the wire into the socket.,Core task involving fine motor skills and hand manipulation.,r001,Carpentry,Gold,1649.4299909546633,db171065-a8a9-49f7-bc56-66879d228b30
Object Transfer,2,#C C picks the wire from the table.,Logistics step involving picking up an object.,r001,Carpentry,Gold,1733.0497009546634,db171065-a8a9-49f7-bc56-66879d228b30
Locomotion,2,#C C takes a right turn,"Body movement through space, change in direction.",r001,Walking Outdoors,Gold,81.83111,dbfced7f-d9be-4a93-9238-980f4b17a335
Locomotion,2,#C C rides the scooter on the road,"Body moving through space (riding a scooter), high body acceleration.",r001,Walking Outdoors,Gold,888.9351733333333,dbfced7f-d9be-4a93-9238-980f4b17a335
Search,2,#C C looks at person X,"Head movement (visual search), hands mostly still.",r001,Walking Outdoors,Gold,2184.97656,dbfced7f-d9be-4a93-9238-980f4b17a335
Locomotion,2,#C C walks on the basement,"Body moving through space, indicative of walking.",r001,Walking Outdoors,Gold,2211.3722700000003,dbfced7f-d9be-4a93-9238-980f4b17a335
Stationary,2,#C C unwinds the snake light,The action of unwinding a snake light is typically performed with minimal body movement and is more about manipulating the light itself rather than moving through space or performing a high-energy task.,r001,Carpentry,Gold,7.56831,dfe55332-7312-486a-95c7-d871b438a427
Stationary,2,#C C fixes the snake light,Adjusting a light source typically involves minimal movement.,r001,Carpentry,Gold,13.99401,dfe55332-7312-486a-95c7-d871b438a427
Stationary,2,#C C holds the third pillow,"Low body/hand motion, holding an object without movement.",r001,Cleaning,Gold,58.6495786,e2f6637c-b3c4-4d19-bef4-0d2dd202f1a6
Stationary,2,#C C sorts the clothes,Organizing thoughts and arranging items without significant movement.,r001,Cleaning,Gold,7.9293986,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Essential Operation,2,#C C spreads the boxer,Core manual task involving hand movement.,r001,Cleaning,Gold,22.7650786,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Object Transfer,2,#C C drops the socks on the bed,"[CtxFixed] The action of dropping the socks on the bed can be considered a deliberate placement, which fits the 'Object Transfer' category.",r001,Cleaning,Gold,144.4820786,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Essential Operation,2,#C C folds the stockings together,Core manual task involving fine motor skills and hand manipulation.,r001,Cleaning,Gold,158.2250986,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Object Transfer,2,#C C picks the fifth stockings from the bed,"The action involves picking up an object, which is a logistics step.",r001,Cleaning,Gold,160.02749859999997,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Object Transfer,2,#C C puts the bedsheet on the bed,Logistics step involving the placement of an object.,r001,Cleaning,Gold,189.5599086,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Stationary,2,#C C adjusts his T-shirt,"Low body/hand motion, adjusting clothing.",r001,Cleaning,Gold,221.8218886,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Stationary,2,#C C turns the stocking,Turning an object likely involves minimal body movement and could be considered a stationary action.,r001,Cleaning,Gold,227.9208086,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Essential Operation,2,#C C folds the T-shirt,"Core manual task involving hands, high hand activity.",r001,Cleaning,Gold,361.958431735707,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Object Transfer,2,#C C drops the T-shirt on the bed,"[CtxFixed] The action of dropping the T-shirt onto the bed is a deliberate placement, indicating an intention to place the T-shirt in a specific location.",r001,Cleaning,Gold,486.065291735707,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Object Transfer,2,#C C drops the sweat pant on the bed,"[CtxFixed] The action of dropping the sweat pant onto the bed is a deliberate placement, which fits the criteria for 'Object Transfer'.",r001,Cleaning,Gold,557.1281070741211,e42aa8c5-561b-4e53-84cb-b4192db92ab6
Locomotion,2,#C C vacuum cleans under the stool,Body moving through space (vacuum cleaning under an object). High body acceleration expected.,r001,Cleaning,Gold,89.1131286,e636dd8b-7682-4910-8b26-781f192c37ec
Locomotion,2,#C C walks in another room in the house,"Body moving through space, high body acceleration.",r001,Cleaning,Gold,119.2750086,e636dd8b-7682-4910-8b26-781f192c37ec
Object Transfer,2,#C C picks up the clothe on the coach,Logistics step involving picking up an object.,r001,Cleaning,Gold,214.2318286,e636dd8b-7682-4910-8b26-781f192c37ec
Locomotion,2,#C C moves the dish.,Movement of the body through space to move an object.,r001,Cleaning,Gold,321.1873371449219,e636dd8b-7682-4910-8b26-781f192c37ec
Essential Operation,2,#C C moves the sponge.,Core task involving manual activity with the hand.,r001,Cleaning,Gold,525.0373971449219,e636dd8b-7682-4910-8b26-781f192c37ec
Object Transfer,2,#C C puts the bottle in the cabinet.,Logistics of moving the bottle to the cabinet.,r001,Cleaning,Gold,552.8344197165732,e636dd8b-7682-4910-8b26-781f192c37ec
Object Transfer,2,#C C puts the the folk in the cup.,Logistics step of placing an object.,r001,Cleaning,Gold,791.4923197165732,e636dd8b-7682-4910-8b26-781f192c37ec
Object Transfer,2,#C C moves the sugar dish from the saucer,Logistics step involving picking up and moving an object.,r001,Cleaning,Gold,871.399197613672,e636dd8b-7682-4910-8b26-781f192c37ec
Object Transfer,2,#C C places the bottle on the counter,Logistics step involving moving an object from one place to another.,r001,Cleaning,Gold,1095.113517613672,e636dd8b-7682-4910-8b26-781f192c37ec
Essential Operation,2,#C C removes the grid,Core manual task involving manipulation of an object.,r001,Cleaning,Gold,1108.211937613672,e636dd8b-7682-4910-8b26-781f192c37ec
Essential Operation,2,#C C wipes the hand,Core task involving high hand activity.,r001,Cleaning,Gold,1155.3781676136718,e636dd8b-7682-4910-8b26-781f192c37ec
Essential Operation,2,#C C assembles the vacuum cleaner,"Core manual task, high hand activity.",r001,Cleaning,Gold,1175.763777613672,e636dd8b-7682-4910-8b26-781f192c37ec
Object Transfer,2,#C C places the vacuum cleaner on the floor,Logistics step of placing an object.,r001,Cleaning,Gold,1192.010697613672,e636dd8b-7682-4910-8b26-781f192c37ec
Object Transfer,2,#C C throws the dirt in the bin,Logistics of moving the dirt to the bin.,r001,Cleaning,Gold,1225.617157613672,e636dd8b-7682-4910-8b26-781f192c37ec
Stationary,2,#C C switches off the vacuum cleaner,"Low body/hand motion, likely involves pressing a button or switch.",r001,Cleaning,Gold,1317.315807613672,e636dd8b-7682-4910-8b26-781f192c37ec
Essential Operation,2,#C C cuts ball pepper,"Core task, high hand activity.",r001,Cooking,Gold,20.9862786,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C puts ball pepper down,Logistics/Setup step involving putting an object down.,r001,Cooking,Gold,31.1656286,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C wipes cutting board,Core task involving high hand activity.,r001,Cooking,Gold,61.9969386,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C moves ball pepper,"Core task, high hand activity.",r001,Cooking,Gold,90.6833086,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C holds ball pepper,Holding an object without movement.,r001,Cooking,Gold,144.3121086,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C removes onion skin,"Core task, high hand activity.",r001,Cooking,Gold,196.7600286,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C drops onion skin,"[CtxFixed] The action of dropping the onion skin onto a surface is a deliberate placement, which fits the criteria for 'Object Transfer'.",r001,Cooking,Gold,199.1906186,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C touches onion,Core task involving high hand activity.,r001,Cooking,Gold,241.9785586,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C slices onion,Core task involving precise hand movements.,r001,Cooking,Gold,258.43402860000003,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C separates onions,Core task involving manual dexterity and manipulation.,r001,Cooking,Gold,274.0916786,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C moves onions,"Logistics of moving objects, likely involves picking up and placing onions.",r001,Cooking,Gold,330.9667719607911,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C cuts onion,"Core task, high hand activity.",r001,Cooking,Gold,332.3363819607912,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#O Man X picks a phone,Logistics step involving picking up an object.,r001,Cooking,Gold,353.62532196079115,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C cuts onion skins,Core task involving high hand activity.,r001,Cooking,Gold,393.2610819607911,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C picks onion,Logistics step involving picking up an item.,r001,Cooking,Gold,454.1457119607911,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C moves onion,"Core task, high hand activity.",r001,Cooking,Gold,454.3775419607912,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#O Man X stands next to the countertop,"Low body/hand motion, indicating a static position.",r001,Cooking,Gold,490.7459119607912,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C pours cooking oil in the pan,Core task involving high hand activity.,r001,Cooking,Gold,501.0268719607912,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C moves minced meat,"Core task involving manipulation, high hand activity.",r001,Cooking,Gold,531.5765019607912,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C unwraps minced meat,Core task involving manual dexterity and manipulation.,r001,Cooking,Gold,532.2329219607913,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C rests hand on the countertop,"Low body/hand motion, indicative of a resting or idle state.",r001,Cooking,Gold,584.1879076136719,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C drops minced meat in the pan,Refined via regex fallback,r001,Cooking,Gold,600.275947613672,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C puts pan back,Logistics step involving putting an object back.,r001,Cooking,Gold,647.647567613672,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C puts spices in the cabinet,"Logistics of moving objects, short burst of hand activity.",r001,Cooking,Gold,666.220527613672,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C puts spice on the countertop,Logistics step involving moving an object (spice) from one location to another.,r001,Cooking,Gold,669.0185476136719,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C holds pan,"Low body/hand motion, holding an object without movement.",r001,Cooking,Gold,693.7299176136719,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C puts spoon down,Logistics step involving the placement of an object.,r001,Cooking,Gold,741.385957613672,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C tears packaging bag,Core manual task involving high hand activity.,r001,Cooking,Gold,745.0896476136719,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C removes garlic skins from garlic press,Core task involving manual dexterity and repetitive hand movements.,r001,Cooking,Gold,786.692057613672,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C right hand,"Low body/hand motion, likely idle or holding an object.",r001,Cooking,Gold,845.711320974463,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C drops vegetables on pan,Refined via regex fallback,r001,Cooking,Gold,846.625620974463,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C picks seasoning mix,Logistics step involving picking up an object.,r001,Cooking,Gold,929.379010974463,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C drops vegetables in the pan,Logistics step involving the placement of an object.,r001,Cooking,Gold,1029.486250974463,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C touches pan,"Low body/hand motion, likely involves a light touch or check.",r001,Cooking,Gold,1047.688190974463,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C picks a spice,Logistics/Setup step involving picking up an object.,r001,Cooking,Gold,1072.2611709744629,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C removes seal from spice,"Logistics step involving the removal of a seal, typically a quick action with hands.",r001,Cooking,Gold,1073.3454709744628,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C moves cooking pot to the cooker,Logistics step involving moving an object.,r001,Cooking,Gold,1407.9163121088795,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C picks guacamole,"Logistics step, picking up an object.",r001,Cooking,Gold,1515.4217321088795,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C holds baby leaf salad with the other hand,"The action describes holding an object, which involves minimal movement.",r001,Cooking,Gold,1538.5691221088796,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C moves #unsure,"Uncertainty in movement suggests low energy, possibly waiting or thinking.",r001,Cooking,Gold,1589.7348021088796,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C picks tortilla wrap,Logistics step of picking up an object.,r001,Cooking,Gold,1597.0576721088796,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C holds tortilla wrap with the other hand,"Low body/hand motion, holding an object.",r001,Cooking,Gold,1598.5478121088795,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Search,2,#C C searches the drawer,Head and hand movements focused on finding an item in the drawer.,r001,Cooking,Gold,1619.7459621088797,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Stationary,2,#C C holds cooking pot,"Low body/hand motion, holding an object without movement.",r001,Cooking,Gold,1749.495177144922,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Essential Operation,2,#C C shakes strainer,Core task involving high hand activity.,r001,Cooking,Gold,1810.5108571449216,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C moves strainer to water,Logistics step involving moving an object from one place to another.,r001,Cooking,Gold,1843.0116971449213,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C drops cheese particle in the bowl,Refined via regex fallback,r001,Cooking,Gold,1880.877727144922,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C collects cheese particle,Logistics step involving picking up a small object.,r001,Cooking,Gold,1888.1974971449213,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#O Man X drops game controller on the table,Refined via regex fallback,r001,Cooking,Gold,1970.8255016517576,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Locomotion,2,#O Man X walks away,"Movement through space, indicative of walking.",r001,Cooking,Gold,1970.8455016517576,e6bdfe96-48c7-48c9-a5c8-5f09aee849b7
Object Transfer,2,#C C picks up oil spray.,"Logistics step, picking up an object.",r001,Cooking,Gold,83.2765496,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Stationary,2,#C C touches a button on the toaster machine. #unsure,"Short, low-energy interaction with a button.",r001,Cooking,Gold,193.4537096,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Essential Operation,2,#C C breaks the bread in two with both hands.,Core task involving high hand activity.,r001,Cooking,Gold,219.2167396,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Essential Operation,2,#C C turns the side of the frying egg using a spatula.,"Core task involving manipulation with hands, indicating high hand acceleration.",r001,Cooking,Gold,453.7555009546634,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Essential Operation,2,#C C turns the side of the pancake using a spatula.,Core task involving active manipulation with the hands.,r001,Cooking,Gold,552.8329809546634,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Object Transfer,2,#C C drops the spatula on the kitchen countertop.,"[CtxFixed] The action of dropping the spatula onto the kitchen countertop appears to be a deliberate placement of the object, rather than an accidental drop or spill.",r001,Cooking,Gold,559.8420209546634,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Object Transfer,2,#C C drops pita in a plate. #unsure,Logistics step involving the placement of an object.,r001,Cooking,Gold,604.0898309546634,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Object Transfer,2,#C C drops the cover of margarine on the kitchen counter. #unsure,"[CtxFixed] The action involves deliberately placing the cover of the margarine onto the kitchen counter, which fits the definition of an Object Transfer.",r001,Cooking,Gold,713.2517969546635,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Object Transfer,2,#C C opens a drawer with his right hand.,Logistics/Setup step involving opening a drawer.,r001,Cooking,Gold,720.5280869546635,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Essential Operation,2,#C C cuts from the margarine using a spoon. #unsure,Core task involving high hand activity.,r001,Cooking,Gold,733.2069769546634,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Object Transfer,2,#C C picks up napkin.,"Logistics step, picking up an object.",r001,Cooking,Gold,801.7005469546635,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Object Transfer,2,#C C picks up a piece of pita from the plate.,Logistics step involving picking up an object.,r001,Cooking,Gold,931.6932409546636,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Object Transfer,2,#C C picks up a spatula.,"Logistics step, picking up an object.",r001,Cooking,Gold,948.6046109546636,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Object Transfer,2,#C C drops plate in a tray.,Refined via regex fallback,r001,Cooking,Gold,1017.9657709546634,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Essential Operation,2,#C C cleans glass cup with tissue paper.,Core manual task involving high hand activity.,r001,Cooking,Gold,1089.0453909546634,e7bb40bd-2ba3-4ac9-8e10-b209504f2964
Search,2,#O the cat X plays with a cupboard.,"[CtxFixed] The action indicates that the cat is exploring or looking for something within or around the cupboard, which aligns with a search behavior.",r001,Playing Instrument,Gold,95.1199096,ec6c99e0-4ced-4cb2-8e69-04e36d2bb2ea
Stationary,2,#O O talks,Low body/hand motion.,r001,Cleaning,Gold,75.58083959999999,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Stationary,2,#C C talks while holding the bag,"Low body/hand motion, primarily verbal interaction.",r001,Cleaning,Gold,98.7251596,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Locomotion,2,#Y Y walks and throws his leg to C while laughing,Body moving through space (walking).,r001,Cleaning,Gold,165.60731959999998,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Object Transfer,2,#O The woman B drops the sheet of paper on a table with her right hand. #unsure,"The action involves placing an object (dropping the sheet of paper), which is a logistics step.",r001,Cleaning,Gold,324.27142864583334,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Object Transfer,2,#O The man E touches the book with the pen in his right hand.,"The action involves touching an object with another, which is a logistics step.",r001,Cleaning,Gold,352.1775786458333,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Essential Operation,2,#O The man E writes in the book with the pen in his left hand.,"Core manual task involving writing, high hand activity.",r001,Cleaning,Gold,479.4689286458333,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Stationary,2,#C C holds the nylon with both hands.,"Holding an object with both hands indicates a low-energy, stationary action.",r001,Cleaning,Gold,540.7901486458334,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Object Transfer,2,#C C drops the nylon on a chair with his right hand. #unsure,"The action involves placing an object (nylon) on a chair, which is a logistics step.",r001,Cleaning,Gold,543.8630786458333,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Stationary,2,#C the woman A interacts with C.,Interacting with someone typically involves low body and hand motion.,r001,Cleaning,Gold,889.5102353125,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Stationary,2,#O the woman A holds the book with both hands.,Holding the book with both hands indicates a static position with minimal movement.,r001,Cleaning,Gold,929.2048953125,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Stationary,2,#O the boy B touches his back with his left hand. #unsure,"Low body/hand motion, likely a minor gesture or adjustment.",r001,Cleaning,Gold,938.0531753125,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Stationary,2,#O the boy D holds the book with both hands.,Holding an object with both hands indicates a stationary position with low body and hand motion.,r001,Cleaning,Gold,965.3911353125,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
Object Transfer,2,#O the woman A picks the book from her laps with her hands.,Logistics step involving picking up an object.,r001,Cleaning,Gold,1015.2299453125,ed31f134-b3f0-4f50-b8ae-d956b2f9ccfd
